#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200519A   |    973140    | -1.365350e+00 | -1.440960e+00 | -1.239130e+00 | 5.998520e+02 | 0.000000e+00 | 0.000000e+00 | 1.294740e-02 | 1.245460e-02 | 1.456430e-02 | 41.96 | 56 | 0.749474 | 9.18e-01 | 50.0000 | 101.2 | -0.452000 | 100.704000 |  
GRB200512A   |    971846    | -1.280240e+00 | -1.645280e+00 | -4.168410e-01 | 7.956860e+01 | 4.644150e+01 | 0.000000e+00 | 1.784960e-03 | 8.657140e-04 | 5.286550e-03 | 70.83 | 56 | 1.25825 | 8.76e-02 | 50.0000 | 81 | -2.864000 | 78.136000 |  
GRB200509A   |    970886    | -1.186480e+00 | -1.537790e+00 | -8.040120e-01 | 1.248980e+02 | 8.217780e+01 | 0.000000e+00 | 1.244330e-03 | 8.427050e-04 | 1.916770e-03 | 39.51 | 56 | 0.736842 | 9.53e-01 | 50.0000 | 849.8 | -0.796000 | 848.992000 |  
GRB200425A   |    967774    | -1.312900e+00 | -1.510340e+00 | -1.082980e+00 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 1.162280e-03 | 1.040730e-03 | 1.298270e-03 | 77.65 | 56 | 1.3614 | 2.94e-02 | 50.0000 | 106 | -47.592000 | 58.408000 |  
GRB200416A   |    966554    | -1.764790e+00 | -1.914050e+00 | -1.333870e+00 | 9.999210e+03 | 1.000070e-02 | 0.000000e+00 | 1.411100e-02 | 7.127380e-03 | 2.348700e-02 | 57.14 | 56 | 1.00246 | 4.32e-01 | 50.0000 | 7.296 | -2.336000 | 4.960000 |  
GRB200411A   |    965784    | -2.245080e-01 | -9.956140e-01 | 7.130680e-01 | 1.333870e+02 | 8.540370e+01 | 0.000000e+00 | 6.415800e-02 | 2.836270e-02 | 1.701020e-01 | 69.20 | 56 | 1.25825 | 1.11e-01 | 50.0000 | 0.268 | -0.020000 | 0.248000 |  
GRB200410A   |    965638    | -1.159980e+00 | -2.471840e+00 | 9.727540e-02 | 1.747470e+02 | 0.000000e+00 | 0.000000e+00 | 1.216010e-03 | 7.632100e-04 | 5.112570e-03 | 49.62 | 56 | 0.873333 | 7.13e-01 | 50.0000 | 141.5 | -90.880000 | 50.624000 |  
GRB200324A   |    963260    | -1.222380e+00 | -1.745870e+00 | -5.865800e-01 | 7.683100e+01 | 5.352500e+01 | 0.000000e+00 | 3.171940e-03 | 1.696650e-03 | 6.938550e-03 | 63.43 | 56 | 1.14807 | 2.31e-01 | 50.0000 | 138.5 | -38.100000 | 100.400000 |  
GRB200306C   |    960102    | -8.187190e-01 | -9.381510e-01 | -6.962620e-01 | 9.997610e+03 | 0.000000e+00 | 0.000000e+00 | 4.061790e-03 | 3.802120e-03 | 5.450860e-03 | 71.19 | 56 | 1.24842 | 8.31e-02 | 50.0000 | 60.08 | -12.064000 | 48.016000 |  
GRB200306A   |    959917    | -1.066260e+00 | -1.208760e+00 | -9.194240e-01 | 8.345950e+01 | 7.732670e+01 | 9.229790e+01 | 4.006200e-02 | 3.472720e-02 | 4.641420e-02 | 28.25 | 56 | 1.58123 | 9.99e-01 | 50.0000 | 53.62 | -3.672000 | 49.952000 |  
